location,lob,name
austin,X Delivery,1
bengaluru,X Delivery,4
berlin,X Ventures,3
boston,X AI & Software,2
boston,X Delivery,1
casablanca,X Delivery,2
chicago,X Delivery,4
dallas,X AI & Software,1
denver,X AI & Software,1
gurugram,X Delivery,3
london,X AI & Software,1
london,X Deep Tech,1
london,X Delivery,1
madrid,X AI & Software,2
munich,X Delivery,1
new delhi,X Delivery,1
new york,X AI & Software,2
sao paulo,X Delivery,1
seattle,X AI & Software,1
shenzhen,X Delivery,1
singapore,X Ventures,1
stockholm,X AI & Software,1
sydney,X AI & Software,1
tokyo,X AI & Software,1
toronto,X AI & Software,1
warsaw,X AI & Software,1
warsaw,X Delivery,1
