location,lob,name
amsterdam,X AI & Software,11
atlanta,X AI & Software,2
austin,X AI & Software,1
austin,X Delivery,1
austin,X Ventures,1
barcelona,X AI & Software,3
barcelona,X Delivery,4
bengaluru,X AI & Software,1
bengaluru,X Delivery,21
berlin,X AI & Software,4
berlin,X Green Tech,1
berlin,X Ventures,20
bogota,X Delivery,8
boston,X AI & Software,17
boston,X Delivery,15
brooklyn,X AI & Software,1
brooklyn,X Delivery,1
brussels,X AI & Software,3
casablanca,X AI & Software,1
casablanca,X Delivery,10
casablanca,X Ventures,1
chicago,X AI & Software,9
chicago,X Delivery,17
chicago,X Ventures,1
cologne,X AI & Software,4
copenhagen,X AI & Software,4
copenhagen,X Delivery,1
dallas,X AI & Software,4
denver,X AI & Software,5
denver,X Delivery,1
dusseldorf,X Delivery,8
frankfurt,X AI & Software,2
frankfurt,X Delivery,3
gurugram,X AI & Software,1
gurugram,X Delivery,30
helsinki,X AI & Software,2
houston,X AI & Software,3
india,X Delivery,2
johannesburg,X AI & Software,2
london,X AI & Software,12
london,X Deep Tech,2
london,X Delivery,5
london,X Ventures,11
madrid,X AI & Software,7
madrid,X Delivery,14
manhattan beach & la,X AI & Software,2
manhattan beach & la,X Delivery,1
manhattan beach & la,X Ventures,4
melbourne,X AI & Software,12
miami,X AI & Software,4
milan,X AI & Software,13
mumbai,X AI & Software,2
munich,X AI & Software,4
munich,X Delivery,4
new delhi,X AI & Software,1
new delhi,X Delivery,3
new jersey,X AI & Software,1
new jersey,X Delivery,2
new york,X AI & Software,24
new york,X Deep Tech,1
oslo,X AI & Software,4
paris,X AI & Software,17
paris,X Green Tech,1
perth,X AI & Software,6
perth,X Delivery,2
pittsburgh,X AI & Software,2
rio de janeiro,X AI & Software,1
rio de janeiro,X Delivery,1
san francisco,X AI & Software,11
san francisco,X Delivery,1
santiago,X AI & Software,10
sao paulo,X AI & Software,5
sao paulo,X Delivery,18
sdasd,X Delivery,1
seattle,X AI & Software,6
seattle,X Delivery,4
seoul,X AI & Software,3
shanghai,X AI & Software,1
shenzhen,X Delivery,4
silicon valley,X AI & Software,1
singapore,X AI & Software,14
singapore,X Ventures,8
stockholm,X AI & Software,8
sydney,X AI & Software,12
sydney,X Ventures,3
tokyo,X AI & Software,2
tokyo,X Ventures,1
toronto,X AI & Software,6
toronto,X Delivery,4
vienna,X AI & Software,1
warsaw,X AI & Software,3
warsaw,X Delivery,2
washington dc,X AI & Software,6
zurich,X AI & Software,7
